BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate,ShipDateDay
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/25,953578,160252,1,3,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,505972,Truck,2020-05-25,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007943-01 ALIDA UPP,ALIDA,TRUCK TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7943,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC305CY,CYAN PRINT CART: MPC305SPF,ZCC,Copier chem/cons,,TCC,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,1118.0,792.0,1.0,0,0.0,0.0,15,1118.0,0.0,0.0,167.7,1285.7,16:10.6,25
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E07908265,2020/06/09,955376,161973,1,7,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,CTV,CCTV ACCESSORY,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,1604.98,1337.48,1.0,0,0.0,0.0,15,1604.98,0.0,0.0,240.75,1845.73,16:10.6,1
ISP Services,ISP Services,PCs and Servers,ISP Services,Hardware,PC,Machine,Notebooks,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,CBW7C33,2020/06/03,954704,161292,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007975-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139973,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,PC,Machine,PMNA,PC HARDWARE NASHUA,N2060BVN3590,DELL VOSTRO 3590 I5-1021U,Non,None,,NTB,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,10150.0,10150.0,1.0,0,0.0,0.0,15,10150.0,0.0,0.0,1522.5,11672.5,16:10.6,1
Business Infrastructure,Consumables,HP Contractual,Business Infrastructure,Annuity,Consumable,HP,Toner,Ink Cartridge,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/19,956512,163097,1,3,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,008002-01 ALIDA UPP,MELANIED,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,406,DRIVE CONTROL,406_DRIVE CONTROL,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,MELANIED,0,140346,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTHI,CONSUMABLES HP INKJET PRINTER,F6T82AE,973X MAGENTA PAGEWIDE CARTRIDG,HPI,HP Inks,,INM,,Y,Sold,Blank,,0.0,CONHPCT,Cons.HP Colour Toner,Manual Invoice,8,8,8,0,1517.74,1430.23,8.0,0,0.0,0.0,15,12141.92,0.0,0.0,1821.29,13963.21,16:10.6,1
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/22,956686,163254,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,507710,By Courier,2020-06-22,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,008006-01 PWVAN UPP,PWVAN,820714,Nashua Upington,DSV TO DELIVER,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,PWVAN,0,8006,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Parts,Copiers,SCD,SPARES COPIER DRUMS,B0449510F,OPC DRUM AF1013/1515MFP,C,COPIER PARTS,AA,OPC,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,5,5,5,0,871.42,598.5,5.0,0,0.0,0.0,15,4357.1,0.0,0.0,653.57,5010.67,16:10.6,22
ISP Services,ISP Services,PCs and Servers,ISP Services,Hardware,PC,Accessory,External Storage,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/09,955376,161973,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007983-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,140140,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,PC,Accessory,PANA,PC ACCESSORIES NASHUA,ST6000VX001,SG SKYHAWK 6TB 3.5   7200RPM,Non,None,,STE,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,3298.9,2999.0,1.0,0,0.0,0.0,15,3298.9,0.0,0.0,494.84,3793.74,16:10.6,1
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,445198,733449,1,2,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,424873,Truck,2020-06-08,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,MARLI,LIZANNES,REFER INV 99916,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,Y,101,BLM MAIN W/H,101_BLM MAIN W/H,352,ALIDA VORSTER,109,BLM WAREHOUSE,LIZANNES,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONIM350BLK,IM 350 BLACK PRINT CARTRIDGE,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,4,4,4,0,580.0,665.0,4.0,0,0.0,0.0,0,2320.0,0.0,0.0,0.0,2320.0,29:20.6,8
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/25,451521,735648,1,5,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,425556,Truck,2020-06-25,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,MARLI,ALIDA,PLEASE SENT TO KIMBERLEY,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,Y,101,BLM MAIN W/H,101_BLM MAIN W/H,352,ALIDA VORSTER,109,BLM WAREHOUSE,ALIDA,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC406BL,PRINT CART BLACK:MPC406,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,950.0,950.0,1.0,0,0.0,0.0,0,950.0,0.0,0.0,0.0,950.0,29:20.6,25
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/25,451521,735648,1,2,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,425556,Truck,2020-06-25,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,MARLI,ALIDA,PLEASE SENT TO KIMBERLEY,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,Y,101,BLM MAIN W/H,101_BLM MAIN W/H,352,ALIDA VORSTER,109,BLM WAREHOUSE,ALIDA,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC2551MA,MAGENTA CART: MPC2551/2051,Non,None,,TCM,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,2289.0,2289.0,1.0,0,0.0,0.0,0,2289.0,0.0,0.0,0.0,2289.0,29:20.6,25
Business Infrastructure,MFP,Mono,Business Infrastructure,Hardware,MFP,Machine,Mono,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3389PB00962,2020/06/01,954390,161011,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,506404,Truck,2020-06-01,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007962-01 ALIDA UPP,ALIDA,TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7962,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,MFP,Machine,CMND,MFP MACHINE NASHUA DIGITAL,IM350H1,35PPM MFP A4 WITH NO FAX,AFI,AFICIO,,,,Y,Sold,Main Product Of BOM,,0.0,KCPM2,BW Segment 2(20-39),Ship & Invoice,1,1,1,0,11489.0,12390.0,1.0,0,0.0,0.0,15,11489.0,0.0,0.0,1723.35,13212.35,16:10.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,Purchase - NASHUA KIMBERLEY,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/16,56381,645848,1,1,,21205,21205,SOLUTIONS PRO PTY LTD,NASHUA UPT,SOLUTIONS PRO PTY LTD,P.O BOX 2473,,UPINGTON,8800,Inter-Fra Sale/Billing,0,,1900-01-01,21205,SOLUTIONS PRO,,NASHUA UPINGTON BUILDING,28,KORT STREET,UPINGTON,DSR TO PAY,DSRINVSRV3,FOR MACHINES IN KMB AREA,THAT ARE OWNED BY UPP,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,N,999,None,999_None,422,INSTALLATION COMMISSION,303,KMB SERVICE,DSRINVSRV3,0,0,0,,A03,VERA HUISAMEN,3,EA,,N,0.0,,0,,Non-Stock Charges,DSRCHARGE,*,CHARGES - INVOICE ONLY,DSRCHARGE,DSR:UPP prior 2020/06/15,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,531.01,0.0,,0,0.0,0.0,0,531.01,0.0,0.0,0.0,531.01,29:20.6,1
Business Infrastructure,Consumables,HP Contractual,Business Infrastructure,Annuity,Consumable,HP,Toner,Ink Cartridge,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/19,956512,163097,1,2,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,008002-01 ALIDA UPP,MELANIED,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,406,DRIVE CONTROL,406_DRIVE CONTROL,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,MELANIED,0,140346,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTHI,CONSUMABLES HP INKJET PRINTER,F6T81AE,973X CYAN PAGEWIDE CARTRIDGE,HPI,HP Inks,,INC,,Y,Sold,Blank,,0.0,CONHPCT,Cons.HP Colour Toner,Manual Invoice,8,8,8,0,1517.74,1430.23,8.0,0,0.0,0.0,15,12141.92,0.0,0.0,1821.29,13963.21,16:10.6,1
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/25,953578,160252,1,8,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,505972,Truck,2020-05-25,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007943-01 ALIDA UPP,ALIDA,TRUCK TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7943,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC3503Y,YELLOW CART:MPC3003SP/3503SP,ZCC,Copier chem/cons,,TCY,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,2772.0,2111.0,1.0,0,0.0,0.0,15,2772.0,0.0,0.0,415.8,3187.8,16:10.6,25
,,,Connectivity,Managed Services,ADSL,,,,,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/01,444871,732940,1,2,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,0,,1900-01-01,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,ILUX TRADE,CHARLENEP,ADSL LINE RENTAL,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,N,999,None,999_None,103,SERVICE,103,BLM SERVICE,CHRISTINE2,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,,ADSL,D*,CONNECTIVITY,ADSL,ADSL,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Invoice Only,0,1,1,0,503.01,0.0,0.0,0,0.0,0.0,0,503.01,0.0,0.0,0.0,503.01,29:20.6,1
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/25,953578,160252,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,505972,Truck,2020-05-25,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007943-01 ALIDA UPP,ALIDA,TRUCK TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7943,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Priport,ZVNI,CONS PRIPORT NAS PP INK,PIDX2330BLS,BLK INK DX2330/2430 MODEL TT3,ZPC,Priport consumables,,TON,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,30,30,30,0,169.0,110.0,30.0,0,0.0,0.0,15,5070.0,0.0,0.0,760.5,5830.5,16:10.6,25
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/05/25,953578,160252,1,7,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order,505972,Truck,2020-05-25,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007943-01 ALIDA UPP,ALIDA,TRUCK TO COLLECT,,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,100,DSV-MAIN W/H,100_DSV-MAIN W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,ALIDA,0,7943,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMPC3503M,MAGENTA CART:MPC3003SP/3503SP,ZCC,Copier chem/cons,,TCM,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Ship & Invoice,1,1,1,0,2772.0,2111.0,1.0,0,0.0,0.0,15,2772.0,0.0,0.0,415.8,3187.8,16:10.6,25
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/08,445198,733449,1,15,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,424873,Truck,2020-06-08,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,MARLI,LIZANNES,REFER INV 99916,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,Y,101,BLM MAIN W/H,101_BLM MAIN W/H,352,ALIDA VORSTER,109,BLM WAREHOUSE,LIZANNES,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP6054BL,BLACK PRINT CARTRIDGE:MP6054SP,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,1,1,1,0,1645.0,1886.0,1.0,0,0.0,0.0,0,1645.0,0.0,0.0,0.0,1645.0,29:20.6,8
,,,Connectivity,Managed Services,ADSL,,,,,Purchase - NASHUA BLOEMFONTEIN,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/01,444871,732940,1,1,,21270,21270,SOLUTIONS PRO (PTY)LTD,NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,PO BOX 4441,,BLOEMFONTEIN,9300,Cash,0,,1900-01-01,21270,NASHUA UPINGTON,,,28,KORT STREET,UPINGTON,ILUX TRADE,CHARLENEP,ADSL LINE RENTAL,,,UPP,NASHUA UPPINGTON,FRA,FRANCHISE ACOUNTS,0,,0,N,999,None,999_None,103,SERVICE,103,BLM SERVICE,CHRISTINE2,0,0,0,,A01,CHRISTINE VD WESTHUIZEN,1,EA,,N,0.0,,0,,,ADSL,D*,CONNECTIVITY,ADSL,ADSL,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Invoice Only,0,1,1,0,959.16,0.0,0.0,0,0.0,0.0,0,959.16,0.0,0.0,0.0,959.16,29:20.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E27247276,2020/06/02,954493,161090,1,5,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007961-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139906,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,CCTV,Machine,BMND,CCTV MACHINE NASHUA DIGITAL,7616NIK216P,16CHNVR 160MBP 16POE 2SATA AIO,CTD,CCTV DIGITAL,,,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,3333.34,2777.78,1.0,0,0.0,0.0,15,3333.34,0.0,0.0,500.0,3833.34,16:10.6,1
ISP Services,ISP Services,PCs and Servers,ISP Services,Hardware,PC,Machine,Notebooks,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,H76CX23,2020/06/03,954704,161292,1,4,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-order(HP),0,Truck,1900-01-01,820714,NASHUA UPINGTON,28 KORT STR,,,,UPINGTON,007975-01 ALIDA UPP,JANETB,MARLI,54,,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,413,PINNSEC,413_PINNSEC,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,JANETB,0,139973,0,,F03,LERATO NKETLE,100,EA,,Y,0.0,,0,,PC,Machine,PMNA,PC HARDWARE NASHUA,N2060BVN3590,DELL VOSTRO 3590 I5-1021U,Non,None,,NTB,,Y,Sold,Blank,,0.0,,Blank,Manual Invoice,1,1,1,0,10150.0,10150.0,1.0,0,0.0,0.0,15,10150.0,0.0,0.0,1522.5,11672.5,16:10.6,1
Business Infrastructure,Parts,Parts,Business Infrastructure,Annuity,Part,,,,,Purchase - NASHUA (PTY) LTD,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,955589,162178,1,1,,820714,820714,SOLUTIONS PRO (PTY)LTD,T/A NASHUA UPINGTON,SOLUTIONS PRO (PTY)LTD,12 GROOTE SCHUURE AVENUE,,KIMBERLEY,8300,e-Order(Emergency),507107,By Courier,2020-06-11,820714,NASHUA UPINGTON,,,12,GROOTE SCHUURE AVENUE,UPINGTON,007991-01 PWVAN UPP,PWVAN,#NAME?,Nashua Upington,DSV TO DELIVER,UPP,NASHUA UPINGTON,FRA,Franchise,0,,0,Y,101,DSV-PARTS W/H,101_DSV-PARTS W/H,11,EUGENE ENGELBRECHT,113,FRANCHISE DEPT,PWVAN,0,7991,0,,F03,LERATO NKETLE,100,EA,,N,0.0,,0,,Parts,Copiers,SC,SPARES - COPIERS,D1272110,PCDU,C,COPIER PARTS,AA,PRT,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,2,2,2,0,2708.4,1830.0,2.0,0,0.0,0.0,15,5416.8,0.0,0.0,812.52,6229.32,16:10.6,11
